dataset,model,eval_metrics/MSE[mean],eval_metrics/MSE[0.5],eval_metrics/MAE[0.5],eval_metrics/MASE[0.5],eval_metrics/MAPE[0.5],eval_metrics/sMAPE[0.5],eval_metrics/MSIS,eval_metrics/RMSE[mean],eval_metrics/NRMSE[mean],eval_metrics/ND[0.5],eval_metrics/mean_weighted_sum_quantile_loss,domain,num_variates
car_parts/M/short,VISIT-2.0,1.373286686,1.373286686,0.464862295,0.848583319,0.819363872,1.889660017,16.02913722,1.171873152,2.810031608,1.114692097,0.969563474,Sales,1
covid_deaths/D/short,VISIT-2.0,908144.1524,908144.1524,159.6860432,34.97829521,0.0948722,0.369048384,743.4164113,952.9659765,0.358558086,0.060082651,0.048583649,Healthcare,1
electricity/15T/long,VISIT-2.0,337388.032,337388.032,59.03067408,0.880532744,0.132234492,0.132856123,7.322513459,580.8511272,0.916363839,0.093128123,0.074723286,Energy,1
electricity/15T/medium,VISIT-2.0,265869.4971,265869.4971,54.46738331,0.834451153,0.127050159,0.131176979,7.32714487,515.6253457,0.888474393,0.093852786,0.075742216,Energy,1
electricity/15T/short,VISIT-2.0,130887.7569,130887.7569,51.03630455,0.957118833,0.160832014,0.163659407,10.48885515,361.7841302,0.713147833,0.100602616,0.083285503,Energy,1
electricity/D/short,VISIT-2.0,1298319351,1298319351,4250.860685,1.413861924,0.337296677,0.09648441,11.75720043,36032.19881,0.59212869,0.069855758,0.055895324,Energy,1
electricity/H/long,VISIT-2.0,6487462.048,6487462.048,257.0042222,1.140174951,0.286452985,0.138154062,9.440947571,2547.049675,1.004555639,0.101362389,0.080471367,Energy,1
electricity/H/medium,VISIT-2.0,4973022.363,4973022.363,235.1035037,1.054255783,0.249097624,0.129324742,8.655806384,2230.027435,0.870453197,0.091768645,0.072931468,Energy,1
electricity/H/short,VISIT-2.0,1832822.6,1832822.6,187.8769334,0.992046328,0.188290927,0.13223596,10.67209746,1353.817787,0.639098677,0.08869133,0.071443197,Energy,1
electricity/W/short,VISIT-2.0,30268516238,30268516238,24931.11081,1.476392211,0.246763793,0.097074083,11.78531386,173978.4936,0.396961509,0.056884568,0.044442163,Energy,1
ett1/15T/long,VISIT-2.0,11.81704241,11.81704241,1.84561849,1.172792792,0.921280198,0.429058625,8.730798522,3.437592531,0.655208535,0.351776709,0.279110708,Energy,7
ett1/15T/medium,VISIT-2.0,12.01800843,12.01800843,1.802565259,1.132885608,0.877688066,0.415614614,8.569189067,3.466699934,0.660756357,0.34357068,0.273148317,Energy,7
ett1/15T/short,VISIT-2.0,5.385971215,5.385971215,1.146844628,0.741979072,0.500646704,0.248982493,5.271615103,2.320769531,0.438721995,0.216801348,0.169717216,Energy,7
ett1/D/short,VISIT-2.0,42405.77778,42405.77778,144.0450769,1.947173963,1.470602465,0.536914741,13.87528863,205.926632,0.54087313,0.378339172,0.300631424,Energy,7
ett1/H/long,VISIT-2.0,216.1447917,216.1447917,8.599136078,1.626712885,6.14E+12,0.51397789,13.37424515,14.70186354,0.704040403,0.411794002,0.33118264,Energy,7
ett1/H/medium,VISIT-2.0,211.6759301,211.6759301,8.360807292,1.527338192,6.47E+12,0.490139553,12.43457211,14.54908691,0.696866775,0.40046285,0.323077513,Energy,7
ett1/H/short,VISIT-2.0,125.9463914,125.9463914,5.289335705,0.872915273,0.48424214,0.270307196,6.773756891,11.22258399,0.523803908,0.246874937,0.19791386,Energy,7
